Line,id,Column,Row,Grid,Flowering_time,Plant_height,Leaf_area,Violaxanthin,Lutein,Betacarotene,Alphatocopherol,Total_carotenoids,log.Leaf_area,log.Alphatocopherol
F2,189,3,6,6,32,138,47.922,5.407436939,19.77228284,48.40293088,62.80506436,73.58265066,3.869574689,4.140035713
F2,196,3,5,6,35,121,25.157,5.108498024,21.02386252,41.6895977,19.25440616,67.82195824,3.225136188,2.957739926
`MAY-03,,,,,37,96.4,45.407,4.94729981,20.93402815,48.56170766,68.73119417,74.44303562,3.815666278,4.23020316
`MAY-03,,,,,32,106.7,45.216,4.058694173,22.36328999,47.03984922,54.85949955,73.46183338,3.811451007,4.004775363
`MAY-03,,,,,31,110,47.07,5.802462434,19.00268515,46.87200226,49.53074798,71.67714984,3.851635855,3.902593648
`MAY-03,,,,,32,112,37.874,6.076046617,22.15617982,55.83057103,71.4574078,84.06279747,3.634264861,4.269101577
`MAY-03,,,,,,,,,,,,,,
`MAY-03,,,,,34,109,29.222,3.819557873,20.55475305,51.83353974,63.14035526,76.20785066,3.37492185,4.14536011
`MAY-03,,,,,34,104,35.345,,,,,,3.56515694,
MAL-02,,,,,42,176,48.548,11.38971599,30.90507127,70.17147191,35.7193678,112.4662592,3.882552999,3.575693057
MAL-02,,,,,42,189,51.862,9.824334301,29.48623143,65.81583884,39.04593333,105.1264046,3.948586345,3.664738731
MAL-02,,,,,42,180,60.25,14.40902064,29.53178067,60.35872597,48.52668143,104.2995273,4.098502572,3.882113779
MAL-02,,,,,44,180,65.245,14.7765554,30.64048431,68.26493707,28.05978123,113.6819768,4.178149415,3.334337278
MAL-02,,,,,47,178,40.78,10.96885336,27.88019842,62.73313243,40.07651818,101.5821842,3.708191765,3.690790581
MAL-02,,,,,42,175,51.412,11.3004627,33.33367736,54.00467154,20.3832759,98.6388116,3.939871608,3.014714756
MAL_02,,,,,42,177,48.584,,,,,,3.883294259,
